Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,LOR_Std,DELE_Std,Token_Pret_Std
HSP22,90,Female,Heritage,Sequential,32,0,4,3,14,0,32,5,6,B,5,41,0,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],22,11,-2.280724750572883,1.8138608218429253,1.2246470510386476,0.9956869038672798,-1.1866922871949095,NA
HSP22,90,Female,Heritage,Sequential,32,0,4,3,14,0,32,5,6,B,15,43,0,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F],22,11,-2.280724750572883,-0.7588212090390609,-0.8898030626306618,0.9956869038672798,-1.1866922871949095,NA
HSP22,90,Female,Heritage,Sequential,32,0,4,3,14,0,32,5,6,B,10,46,1,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F],22,11,-2.280724750572883,-0.18053725098113216,0.7218493994020267,0.9956869038672798,-1.1866922871949095,NA
HSP22,90,Female,Heritage,Sequential,32,0,4,3,14,0,32,5,6,B,20,48,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],22,11,-2.280724750572883,-0.831834201259241,-0.7467312120510448,0.9956869038672798,-1.1866922871949095,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,20,3,0,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],23,39,1.480763390471779,-0.831834201259241,-0.7467312120510448,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,10,5,0,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F],23,39,1.480763390471779,-0.18053725098113216,0.7218493994020267,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,15,8,0,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F],23,39,1.480763390471779,-0.7588212090390609,-0.8898030626306618,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,5,10,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],23,39,1.480763390471779,1.8138608218429253,1.2246470510386476,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,19,13,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],23,39,1.480763390471779,-0.9295208872364908,-0.7593805517898339,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,9,15,0,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F],23,39,1.480763390471779,0.1485854581850012,1.2246470510386476,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,14,18,0,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F],23,39,1.480763390471779,-0.7989468264689892,-0.7467312120510448,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,4,20,0,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],23,39,1.480763390471779,1.5168112616950589,1.7428375487463559,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,18,23,0,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],23,39,1.480763390471779,-0.8824508830845953,-0.9250448047238335,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,8,25,0,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F],23,39,1.480763390471779,0.8475707344418515,1.7428375487463559,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,13,28,0,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F],23,39,1.480763390471779,-0.831834201259241,-0.8847828469725008,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,3,30,0,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],23,39,1.480763390471779,0.1485854581850012,0.7218493994020267,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,17,33,0,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],23,39,1.480763390471779,-0.7989468264689892,-0.8898030626306618,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,7,35,0,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],23,39,1.480763390471779,1.8138608218429253,-0.9250448047238335,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,12,38,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],23,39,1.480763390471779,-0.9295208872364908,-0.9250448047238335,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,2,40,0,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],23,39,1.480763390471779,-0.18053725098113216,1.0241706238088089,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,16,43,0,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],23,39,1.480763390471779,-0.7588212090390609,-0.8847828469725008,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,6,45,0,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],23,39,1.480763390471779,1.5168112616950589,1.0241706238088089,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,11,48,0,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],23,39,1.480763390471779,-0.8824508830845953,-0.7593805517898339,0.001586628969822193,0.639781928748559,NA
HSP23,66,Female,Heritage,Sequential,32,0,4,1,40,10,42,19,20,A,1,50,0,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],23,39,1.480763390471779,0.8475707344418515,0.4805898054934249,0.001586628969822193,0.639781928748559,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,1,1,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],24,32,0.5403913552106134,0.8475707344418515,0.4805898054934249,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,11,3,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],24,32,0.5403913552106134,-0.8824508830845953,-0.7593805517898339,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,6,6,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],24,32,0.5403913552106134,1.5168112616950589,1.0241706238088089,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,16,8,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],24,32,0.5403913552106134,-0.7588212090390609,-0.8847828469725008,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,2,11,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],24,32,0.5403913552106134,-0.18053725098113216,1.0241706238088089,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,12,13,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],24,32,0.5403913552106134,-0.9295208872364908,-0.9250448047238335,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,7,16,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],24,32,0.5403913552106134,1.8138608218429253,-0.9250448047238335,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,17,18,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],24,32,0.5403913552106134,-0.7989468264689892,-0.8898030626306618,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,3,21,1,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],24,32,0.5403913552106134,0.1485854581850012,0.7218493994020267,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,13,23,1,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F],24,32,0.5403913552106134,-0.831834201259241,-0.8847828469725008,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,8,26,1,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F],24,32,0.5403913552106134,0.8475707344418515,1.7428375487463559,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,18,28,1,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],24,32,0.5403913552106134,-0.8824508830845953,-0.9250448047238335,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,4,31,1,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],24,32,0.5403913552106134,1.5168112616950589,1.7428375487463559,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,14,33,1,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F],24,32,0.5403913552106134,-0.7989468264689892,-0.7467312120510448,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,9,36,1,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F],24,32,0.5403913552106134,0.1485854581850012,1.2246470510386476,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,19,38,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],24,32,0.5403913552106134,-0.9295208872364908,-0.7593805517898339,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,5,41,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],24,32,0.5403913552106134,1.8138608218429253,1.2246470510386476,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,15,43,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F],24,32,0.5403913552106134,-0.7588212090390609,-0.8898030626306618,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,10,46,1,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F],24,32,0.5403913552106134,-0.18053725098113216,0.7218493994020267,1.741262110040373,1.73566645831464,NA
HSP24,70,Female,Heritage,Sequential,28,0,5,4.5,40,3,48,16,16,B,20,48,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],24,32,0.5403913552106134,-0.831834201259241,-0.7467312120510448,1.741262110040373,1.73566645831464,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,1,1,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],25,30,0.2717136308502804,0.8475707344418515,0.4805898054934249,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,11,3,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],25,30,0.2717136308502804,-0.8824508830845953,-0.7593805517898339,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,6,6,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],25,30,0.2717136308502804,1.5168112616950589,1.0241706238088089,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,16,8,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],25,30,0.2717136308502804,-0.7588212090390609,-0.8847828469725008,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,2,11,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],25,30,0.2717136308502804,-0.18053725098113216,1.0241706238088089,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,12,13,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],25,30,0.2717136308502804,-0.9295208872364908,-0.9250448047238335,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,7,16,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],25,30,0.2717136308502804,1.8138608218429253,-0.9250448047238335,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,17,18,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],25,30,0.2717136308502804,-0.7989468264689892,-0.8898030626306618,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,18,23,1,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],25,30,0.2717136308502804,-0.8824508830845953,-0.9250448047238335,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,8,25,1,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F],25,30,0.2717136308502804,0.8475707344418515,1.7428375487463559,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,13,28,1,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F],25,30,0.2717136308502804,-0.831834201259241,-0.8847828469725008,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,3,30,1,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],25,30,0.2717136308502804,0.1485854581850012,0.7218493994020267,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,17,33,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],25,30,0.2717136308502804,-0.7989468264689892,-0.8898030626306618,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,7,35,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],25,30,0.2717136308502804,1.8138608218429253,-0.9250448047238335,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,12,38,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],25,30,0.2717136308502804,-0.9295208872364908,-0.9250448047238335,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,2,40,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],25,30,0.2717136308502804,-0.18053725098113216,1.0241706238088089,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,16,43,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],25,30,0.2717136308502804,-0.7588212090390609,-0.8847828469725008,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,6,45,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],25,30,0.2717136308502804,1.5168112616950589,1.0241706238088089,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,11,48,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],25,30,0.2717136308502804,-0.8824508830845953,-0.7593805517898339,-0.4954635084789066,0.639781928748559,NA
HSP25,73,Female,Heritage,Sequential,20,0,3,0,40,5,42,15,15,A,1,50,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],25,30,0.2717136308502804,0.8475707344418515,0.4805898054934249,-0.4954635084789066,0.639781928748559,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,1,1,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],27,35,0.9434079417511129,0.8475707344418515,0.4805898054934249,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,11,3,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],27,35,0.9434079417511129,-0.8824508830845953,-0.7593805517898339,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,6,6,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],27,35,0.9434079417511129,1.5168112616950589,1.0241706238088089,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,16,8,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],27,35,0.9434079417511129,-0.7588212090390609,-0.8847828469725008,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,2,11,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],27,35,0.9434079417511129,-0.18053725098113216,1.0241706238088089,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,12,13,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],27,35,0.9434079417511129,-0.9295208872364908,-0.9250448047238335,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,7,16,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],27,35,0.9434079417511129,1.8138608218429253,-0.9250448047238335,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,17,18,0,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],27,35,0.9434079417511129,-0.7989468264689892,-0.8898030626306618,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,18,23,1,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],27,35,0.9434079417511129,-0.8824508830845953,-0.9250448047238335,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,8,25,1,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F],27,35,0.9434079417511129,0.8475707344418515,1.7428375487463559,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,13,28,1,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F],27,35,0.9434079417511129,-0.831834201259241,-0.8847828469725008,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,3,30,1,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],27,35,0.9434079417511129,0.1485854581850012,0.7218493994020267,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,17,33,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],27,35,0.9434079417511129,-0.7989468264689892,-0.8898030626306618,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,7,35,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],27,35,0.9434079417511129,1.8138608218429253,-0.9250448047238335,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,12,38,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],27,35,0.9434079417511129,-0.9295208872364908,-0.9250448047238335,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,2,40,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],27,35,0.9434079417511129,-0.18053725098113216,1.0241706238088089,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,16,43,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],27,35,0.9434079417511129,-0.7588212090390609,-0.8847828469725008,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,6,45,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],27,35,0.9434079417511129,1.5168112616950589,1.0241706238088089,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,11,48,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],27,35,0.9434079417511129,-0.8824508830845953,-0.7593805517898339,-0.4954635084789066,0.8224293503429058,NA
HSP27,78,Female,Heritage,Sequential,25,0,3,0,40,5,43,18,17,A,1,50,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],27,35,0.9434079417511129,0.8475707344418515,0.4805898054934249,-0.4954635084789066,0.8224293503429058,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,1,1,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],28,30,0.2717136308502804,0.8475707344418515,0.4805898054934249,-0.4954635084789066,-0.638750022411869,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,11,3,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],28,30,0.2717136308502804,-0.8824508830845953,-0.7593805517898339,-0.4954635084789066,-0.638750022411869,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,6,6,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],28,30,0.2717136308502804,1.5168112616950589,1.0241706238088089,-0.4954635084789066,-0.638750022411869,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,16,8,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],28,30,0.2717136308502804,-0.7588212090390609,-0.8847828469725008,-0.4954635084789066,-0.638750022411869,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,2,11,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],28,30,0.2717136308502804,-0.18053725098113216,1.0241706238088089,-0.4954635084789066,-0.638750022411869,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,12,13,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],28,30,0.2717136308502804,-0.9295208872364908,-0.9250448047238335,-0.4954635084789066,-0.638750022411869,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,7,16,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],28,30,0.2717136308502804,1.8138608218429253,-0.9250448047238335,-0.4954635084789066,-0.638750022411869,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,17,18,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],28,30,0.2717136308502804,-0.7989468264689892,-0.8898030626306618,-0.4954635084789066,-0.638750022411869,NA
HSP28,80,Female,Heritage,Simultaneous,28,0,0,0,34,3,35,16,14,B,3,21,1,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],28,30,0.2717136308502804,0.1485854581850012,0.7218493994020267,-0.4954635084789066,-0.638750022411869,NA
